SEED :  1
INIT_TIME :  0
FIN_TIME :  20000
ARRIVE_MIN :  10
ARRIVE_MAX :  20
QUIT_PROB :  20
CPU_MIN :  10
CPU_MAX :  20
DISK1_MIN :  30
DISK1_MAX :  50
DISK2_MIN :  30
DISK2_MAX :  50
13964 Job 507  finishes at Disk 2
13964 Job 962  arrives
13965 Job 556  finishes at CPU
13965 Job 556  finishes
13969 Job 266  finishes at Disk 1
13980 Job 963  arrives
13980 Job 154  finishes at CPU
13992 Job 557  finishes at CPU
13998 Job 964  arrives
14003 Job 36   finishes at Disk 2
14007 Job 558  finishes at CPU
14014 Job 965  arrives
14016 Job 508  finishes at Disk 1
14018 Job 294  finishes at CPU
14018 Job 294  finishes
14025 Job 966  arrives
14036 Job 967  arrives
14037 Job 559  finishes at CPU
14044 Job 509  finishes at Disk 2
14047 Job 560  finishes at CPU
14047 Job 560  finishes
14051 Job 267  finishes at Disk 1
14053 Job 968  arrives
14060 Job 1    finishes at CPU
14063 Job 969  arrives
14073 Job 970  arrives
14076 Job 269  finishes at Disk 2
14077 Job 561  finishes at CPU
14077 Job 561  finishes
14087 Job 295  finishes at CPU
14087 Job 295  finishes
14091 Job 971  arrives
14095 Job 511  finishes at Disk 1
14105 Job 562  finishes at CPU
14106 Job 972  arrives
14117 Job 510  finishes at Disk 2
14123 Job 297  finishes at CPU
14124 Job 973  arrives
14135 Job 563  finishes at CPU
14135 Job 974  arrives
14135 Job 563  finishes
14141 Job 270  finishes at Disk 1
14149 Job 512  finishes at Disk 2
14150 Job 975  arrives
14151 Job 296  finishes at CPU
14160 Job 976  arrives
14167 Job 564  finishes at CPU
14177 Job 977  arrives
14182 Job 272  finishes at Disk 1
14182 Job 81   finishes at CPU
14190 Job 978  arrives
14194 Job 515  finishes at Disk 2
14201 Job 565  finishes at CPU
14209 Job 979  arrives
14215 Job 566  finishes at CPU
14226 Job 142  finishes at Disk 1
14227 Job 980  arrives
14232 Job 298  finishes at CPU
14233 Job 141  finishes at Disk 2
14242 Job 567  finishes at CPU
14244 Job 981  arrives
14252 Job 299  finishes at CPU
14257 Job 982  arrives
14258 Job 516  finishes at Disk 1
14265 Job 271  finishes at Disk 2
14267 Job 568  finishes at CPU
14270 Job 983  arrives
14283 Job 569  finishes at CPU
14284 Job 984  arrives
14290 Job 517  finishes at Disk 1
14297 Job 985  arrives
14299 Job 301  finishes at CPU
14302 Job 519  finishes at Disk 2
14310 Job 986  arrives
14312 Job 570  finishes at CPU
14324 Job 987  arrives
14328 Job 159  finishes at CPU
14330 Job 518  finishes at Disk 1
14341 Job 571  finishes at CPU
14343 Job 988  arrives
14348 Job 520  finishes at Disk 2
14354 Job 302  finishes at CPU
14357 Job 989  arrives
14364 Job 572  finishes at CPU
14371 Job 990  arrives
14379 Job 274  finishes at Disk 1
14379 Job 304  finishes at CPU
14383 Job 991  arrives
14388 Job 143  finishes at Disk 2
14389 Job 573  finishes at CPU
14396 Job 992  arrives
14406 Job 993  arrives
14407 Job 303  finishes at CPU
14411 Job 522  finishes at Disk 1
14418 Job 994  arrives
14423 Job 574  finishes at CPU
14430 Job 995  arrives
14434 Job 521  finishes at Disk 2
14439 Job 575  finishes at CPU
14442 Job 996  arrives
14446 Job 275  finishes at Disk 1
14456 Job 40   finishes at CPU
14459 Job 997  arrives
14466 Job 576  finishes at CPU
14474 Job 998  arrives
14477 Job 523  finishes at Disk 2
14477 Job 276  finishes at Disk 1
14479 Job 160  finishes at CPU
14479 Job 160  finishes
14491 Job 577  finishes at CPU
14493 Job 999  arrives
14501 Job 307  finishes at CPU
14503 Job 1000 arrives
14513 Job 524  finishes at Disk 2
14513 Job 1001 arrives
14518 Job 578  finishes at CPU
14518 Job 578  finishes
14524 Job 525  finishes at Disk 1
14528 Job 1002 arrives
14534 Job 306  finishes at CPU
14544 Job 1003 arrives
14544 Job 579  finishes at CPU
14544 Job 579  finishes
14545 Job 144  finishes at Disk 2
14558 Job 1004 arrives
14560 Job 580  finishes at CPU
14570 Job 161  finishes at CPU
14571 Job 147  finishes at Disk 1
14576 Job 1005 arrives
14580 Job 581  finishes at CPU
14584 Job 527  finishes at Disk 2
14588 Job 1006 arrives
14591 Job 162  finishes at CPU
14598 Job 1007 arrives
14607 Job 526  finishes at Disk 1
14608 Job 582  finishes at CPU
14610 Job 1008 arrives
14622 Job 529  finishes at Disk 2
14625 Job 86   finishes at CPU
14625 Job 1009 arrives
14636 Job 583  finishes at CPU
14642 Job 1010 arrives
14649 Job 279  finishes at Disk 1
14649 Job 310  finishes at CPU
14661 Job 1011 arrives
14664 Job 584  finishes at CPU
14667 Job 530  finishes at Disk 2
14675 Job 312  finishes at CPU
14677 Job 1012 arrives
14691 Job 146  finishes at Disk 1
14691 Job 585  finishes at CPU
14694 Job 1013 arrives
14701 Job 586  finishes at CPU
14701 Job 586  finishes
14709 Job 1014 arrives
14711 Job 76   finishes at Disk 2
14719 Job 311  finishes at CPU
14725 Job 1015 arrives
14731 Job 587  finishes at CPU
14731 Job 587  finishes
14733 Job 532  finishes at Disk 1
14735 Job 1016 arrives
14743 Job 87   finishes at CPU
14745 Job 281  finishes at Disk 2
14750 Job 1017 arrives
14760 Job 588  finishes at CPU
14760 Job 588  finishes
14764 Job 1018 arrives
14767 Job 534  finishes at Disk 1
14773 Job 313  finishes at CPU
14775 Job 1019 arrives
14783 Job 589  finishes at CPU
14786 Job 533  finishes at Disk 2
14793 Job 1020 arrives
14799 Job 535  finishes at Disk 1
14801 Job 590  finishes at CPU
14801 Job 590  finishes
14804 Job 1021 arrives
14820 Job 163  finishes at CPU
14820 Job 1022 arrives
14826 Job 37   finishes at Disk 2
14832 Job 1023 arrives
14838 Job 591  finishes at CPU
14846 Job 536  finishes at Disk 1
14847 Job 1024 arrives
14848 Job 314  finishes at CPU
14857 Job 1025 arrives
14865 Job 592  finishes at CPU
14865 Job 592  finishes
14870 Job 1026 arrives
14871 Job 282  finishes at Disk 2
14878 Job 148  finishes at Disk 1
14878 Job 593  finishes at CPU
14888 Job 1027 arrives
14897 Job 315  finishes at CPU
14905 Job 1028 arrives
14906 Job 537  finishes at Disk 2
14915 Job 165  finishes at CPU
14917 Job 538  finishes at Disk 1
14921 Job 1029 arrives
14929 Job 594  finishes at CPU
14938 Job 1030 arrives
14940 Job 595  finishes at CPU
14948 Job 283  finishes at Disk 2
14952 Job 1031 arrives
14954 Job 285  finishes at Disk 1
14957 Job 596  finishes at CPU
14965 Job 1032 arrives
14973 Job 316  finishes at CPU
14979 Job 1033 arrives
14981 Job 284  finishes at Disk 2
14988 Job 540  finishes at Disk 1
14989 Job 43   finishes at CPU
14991 Job 1034 arrives
14999 Job 597  finishes at CPU
15007 Job 1035 arrives
15009 Job 598  finishes at CPU
15018 Job 542  finishes at Disk 1
15021 Job 541  finishes at Disk 2
15024 Job 1036 arrives
15027 Job 317  finishes at CPU
15036 Job 1037 arrives
15042 Job 599  finishes at CPU
15042 Job 599  finishes
15051 Job 1038 arrives
15060 Job 318  finishes at CPU
15062 Job 287  finishes at Disk 1
15069 Job 1039 arrives
15070 Job 543  finishes at Disk 2
15079 Job 600  finishes at CPU
15079 Job 600  finishes
15081 Job 1040 arrives
15093 Job 545  finishes at Disk 1
15095 Job 319  finishes at CPU
15100 Job 544  finishes at Disk 2
15100 Job 1041 arrives
15110 Job 601  finishes at CPU
15111 Job 1042 arrives
15123 Job 602  finishes at CPU
15123 Job 1043 arrives
15123 Job 602  finishes
15133 Job 1044 arrives
15135 Job 166  finishes at CPU
15135 Job 166  finishes
15140 Job 151  finishes at Disk 1
15147 Job 547  finishes at Disk 2
15148 Job 1045 arrives
15153 Job 320  finishes at CPU
15153 Job 320  finishes
15161 Job 1046 arrives
15165 Job 603  finishes at CPU
15172 Job 289  finishes at Disk 1
15178 Job 1047 arrives
15182 Job 604  finishes at CPU
15182 Job 604  finishes
15188 Job 1048 arrives
15195 Job 548  finishes at Disk 2
15197 Job 321  finishes at CPU
15205 Job 1049 arrives
15208 Job 168  finishes at CPU
15219 Job 549  finishes at Disk 1
15221 Job 605  finishes at CPU
15222 Job 1050 arrives
15232 Job 1051 arrives
15237 Job 550  finishes at Disk 2
15240 Job 606  finishes at CPU
15246 Job 1052 arrives
15251 Job 88   finishes at CPU
15256 Job 1053 arrives
15261 Job 152  finishes at Disk 1
15268 Job 607  finishes at CPU
15273 Job 1054 arrives
15281 Job 551  finishes at Disk 2
15282 Job 322  finishes at CPU
15286 Job 1055 arrives
15297 Job 608  finishes at CPU
15297 Job 608  finishes
15299 Job 552  finishes at Disk 1
15302 Job 1056 arrives
15307 Job 609  finishes at CPU
15314 Job 1057 arrives
15317 Job 79   finishes at Disk 2
15323 Job 610  finishes at CPU
15330 Job 292  finishes at Disk 1
15332 Job 1058 arrives
15339 Job 169  finishes at CPU
15346 Job 1059 arrives
15353 Job 553  finishes at Disk 2
15358 Job 323  finishes at CPU
15365 Job 554  finishes at Disk 1
15365 Job 1060 arrives
15376 Job 611  finishes at CPU
15383 Job 1061 arrives
15391 Job 612  finishes at CPU
15393 Job 1062 arrives
15394 Job 555  finishes at Disk 2
15401 Job 613  finishes at CPU
15407 Job 293  finishes at Disk 1
15409 Job 1063 arrives
15419 Job 1064 arrives
15420 Job 325  finishes at CPU
15426 Job 154  finishes at Disk 2
15434 Job 324  finishes at CPU
15435 Job 1065 arrives
15448 Job 614  finishes at CPU
15448 Job 614  finishes
15453 Job 559  finishes at Disk 1
15454 Job 1066 arrives
15459 Job 557  finishes at Disk 2
15459 Job 615  finishes at CPU
15470 Job 1067 arrives
15472 Job 326  finishes at CPU
15484 Job 1068 arrives
15487 Job 1    finishes at Disk 1
15487 Job 616  finishes at CPU
15496 Job 558  finishes at Disk 2
15500 Job 1069 arrives
15500 Job 4    finishes at CPU
15512 Job 617  finishes at CPU
15513 Job 1070 arrives
15528 Job 1071 arrives
15530 Job 328  finishes at CPU
15531 Job 562  finishes at Disk 1
15532 Job 297  finishes at Disk 2
15538 Job 1072 arrives
15549 Job 618  finishes at CPU
15549 Job 618  finishes
15555 Job 1073 arrives
15563 Job 296  finishes at Disk 2
15563 Job 619  finishes at CPU
15565 Job 1074 arrives
15573 Job 564  finishes at Disk 1
15580 Job 90   finishes at CPU
15580 Job 1075 arrives
15590 Job 620  finishes at CPU
15599 Job 1076 arrives
15605 Job 81   finishes at Disk 2
15605 Job 621  finishes at CPU
15605 Job 621  finishes
15611 Job 1077 arrives
15612 Job 566  finishes at Disk 1
15623 Job 171  finishes at CPU
15624 Job 1078 arrives
15639 Job 1079 arrives
15640 Job 327  finishes at CPU
15641 Job 565  finishes at Disk 2
15655 Job 1080 arrives
15659 Job 622  finishes at CPU
15661 Job 298  finishes at Disk 1
15667 Job 1081 arrives
15670 Job 623  finishes at CPU
15679 Job 567  finishes at Disk 2
15684 Job 172  finishes at CPU
15685 Job 1082 arrives
15696 Job 1083 arrives
15700 Job 624  finishes at CPU
15700 Job 624  finishes
15706 Job 299  finishes at Disk 1
15712 Job 625  finishes at CPU
15713 Job 1084 arrives
15725 Job 568  finishes at Disk 2
15726 Job 1085 arrives
15730 Job 329  finishes at CPU
15737 Job 1086 arrives
15741 Job 301  finishes at Disk 1
15742 Job 626  finishes at CPU
15751 Job 1087 arrives
15760 Job 331  finishes at CPU
15765 Job 1088 arrives
15770 Job 569  finishes at Disk 2
15775 Job 627  finishes at CPU
15775 Job 627  finishes
15784 Job 1089 arrives
15785 Job 159  finishes at Disk 1
15785 Job 628  finishes at CPU
15801 Job 1090 arrives
15804 Job 330  finishes at CPU
15811 Job 570  finishes at Disk 2
15811 Job 1091 arrives
15817 Job 571  finishes at Disk 1
15818 Job 629  finishes at CPU
15829 Job 1092 arrives
15831 Job 173  finishes at CPU
15841 Job 302  finishes at Disk 2
15844 Job 1093 arrives
15844 Job 630  finishes at CPU
15854 Job 572  finishes at Disk 1
15857 Job 1094 arrives
15862 Job 631  finishes at CPU
15875 Job 1095 arrives
15876 Job 91   finishes at CPU
15885 Job 1096 arrives
15886 Job 304  finishes at Disk 2
15889 Job 333  finishes at CPU
15900 Job 1097 arrives
15901 Job 632  finishes at CPU
15903 Job 303  finishes at Disk 1
15913 Job 1098 arrives
15917 Job 633  finishes at CPU
15923 Job 573  finishes at Disk 2
15923 Job 1099 arrives
15936 Job 574  finishes at Disk 1
15936 Job 634  finishes at CPU
15938 Job 1100 arrives
15946 Job 332  finishes at CPU
15946 Job 332  finishes
15952 Job 1101 arrives
15956 Job 575  finishes at Disk 2
15958 Job 45   finishes at CPU
15969 Job 635  finishes at CPU
15970 Job 1102 arrives
15973 Job 40   finishes at Disk 1
15979 Job 636  finishes at CPU
15986 Job 1103 arrives
15996 Job 576  finishes at Disk 2
15998 Job 336  finishes at CPU
16000 Job 1104 arrives
16011 Job 577  finishes at Disk 1
16015 Job 174  finishes at CPU
16016 Job 1105 arrives
16033 Job 637  finishes at CPU
16033 Job 1106 arrives
16033 Job 637  finishes
16043 Job 638  finishes at CPU
16043 Job 638  finishes
16045 Job 307  finishes at Disk 2
16046 Job 1107 arrives
16049 Job 306  finishes at Disk 1
16057 Job 1108 arrives
16058 Job 639  finishes at CPU
16073 Job 1109 arrives
16076 Job 334  finishes at CPU
16076 Job 334  finishes
16079 Job 580  finishes at Disk 2
16085 Job 1110 arrives
16086 Job 161  finishes at Disk 1
16086 Job 640  finishes at CPU
16086 Job 640  finishes
16095 Job 1111 arrives
16100 Job 337  finishes at CPU
16111 Job 162  finishes at Disk 2
16111 Job 1112 arrives
16111 Job 641  finishes at CPU
16111 Job 641  finishes
16123 Job 581  finishes at Disk 1
16127 Job 642  finishes at CPU
16130 Job 1113 arrives
16145 Job 92   finishes at CPU
16149 Job 1114 arrives
16152 Job 86   finishes at Disk 2
16158 Job 175  finishes at CPU
16158 Job 175  finishes
16161 Job 1115 arrives
16165 Job 582  finishes at Disk 1
16170 Job 643  finishes at CPU
16178 Job 1116 arrives
16186 Job 644  finishes at CPU
16190 Job 1117 arrives
16194 Job 583  finishes at Disk 2
16195 Job 310  finishes at Disk 1
16199 Job 338  finishes at CPU
16209 Job 1118 arrives
16218 Job 340  finishes at CPU
16228 Job 1119 arrives
16231 Job 584  finishes at Disk 1
16235 Job 645  finishes at CPU
16239 Job 312  finishes at Disk 2
16244 Job 1120 arrives
16253 Job 646  finishes at CPU
16256 Job 1121 arrives
16270 Job 647  finishes at CPU
16273 Job 1122 arrives
16276 Job 585  finishes at Disk 1
16282 Job 311  finishes at Disk 2
16286 Job 1123 arrives
16289 Job 46   finishes at CPU
16289 Job 46   finishes
16302 Job 1124 arrives
16304 Job 176  finishes at CPU
16308 Job 313  finishes at Disk 1
16312 Job 1125 arrives
16322 Job 648  finishes at CPU
16323 Job 87   finishes at Disk 2
16329 Job 1126 arrives
16341 Job 649  finishes at CPU
16345 Job 1127 arrives
16346 Job 589  finishes at Disk 1
16355 Job 177  finishes at CPU
16357 Job 163  finishes at Disk 2
16359 Job 1128 arrives
16374 Job 650  finishes at CPU
16378 Job 1129 arrives
16389 Job 1130 arrives
16392 Job 314  finishes at Disk 1
16393 Job 93   finishes at CPU
16399 Job 591  finishes at Disk 2
16405 Job 651  finishes at CPU
16406 Job 1131 arrives
16420 Job 1132 arrives
16422 Job 344  finishes at CPU
16422 Job 344  finishes
16430 Job 1133 arrives
16432 Job 593  finishes at Disk 1
16435 Job 315  finishes at Disk 2
16438 Job 652  finishes at CPU
16448 Job 1134 arrives
16451 Job 653  finishes at CPU
16460 Job 1135 arrives
16462 Job 594  finishes at Disk 1
16470 Job 165  finishes at Disk 2
16470 Job 342  finishes at CPU
16472 Job 1136 arrives
16481 Job 654  finishes at CPU
16489 Job 1137 arrives
16491 Job 346  finishes at CPU
16501 Job 655  finishes at CPU
16501 Job 655  finishes
16503 Job 1138 arrives
16504 Job 596  finishes at Disk 1
16507 Job 595  finishes at Disk 2
16517 Job 343  finishes at CPU
16517 Job 1139 arrives
16528 Job 656  finishes at CPU
16528 Job 1140 arrives
16538 Job 657  finishes at CPU
16538 Job 657  finishes
16543 Job 43   finishes at Disk 2
16543 Job 1141 arrives
16550 Job 316  finishes at Disk 1
16550 Job 181  finishes at CPU
16555 Job 1142 arrives
16565 Job 1143 arrives
16567 Job 658  finishes at CPU
16576 Job 1144 arrives
16583 Job 94   finishes at CPU
16589 Job 597  finishes at Disk 2
16592 Job 1145 arrives
16597 Job 659  finishes at CPU
16598 Job 598  finishes at Disk 1
16611 Job 1146 arrives
16613 Job 660  finishes at CPU
16613 Job 660  finishes
16623 Job 1147 arrives
16624 Job 347  finishes at CPU
16637 Job 317  finishes at Disk 2
16638 Job 661  finishes at CPU
16638 Job 661  finishes
16641 Job 1148 arrives
16647 Job 318  finishes at Disk 1
16652 Job 1149 arrives
16655 Job 345  finishes at CPU
16663 Job 1150 arrives
16667 Job 601  finishes at Disk 2
16674 Job 662  finishes at CPU
16675 Job 1151 arrives
16687 Job 350  finishes at CPU
16687 Job 350  finishes
16688 Job 319  finishes at Disk 1
16689 Job 1152 arrives
16700 Job 1153 arrives
16706 Job 663  finishes at CPU
16712 Job 321  finishes at Disk 2
16712 Job 1154 arrives
16718 Job 664  finishes at CPU
16721 Job 603  finishes at Disk 1
16728 Job 1155 arrives
16734 Job 351  finishes at CPU
16741 Job 1156 arrives
16749 Job 665  finishes at CPU
16753 Job 605  finishes at Disk 1
16753 Job 1157 arrives
16760 Job 168  finishes at Disk 2
16762 Job 96   finishes at CPU
16767 Job 1158 arrives
16777 Job 1159 arrives
16779 Job 666  finishes at CPU
16788 Job 1160 arrives
16797 Job 88   finishes at Disk 1
16797 Job 667  finishes at CPU
16798 Job 1161 arrives
16808 Job 606  finishes at Disk 2
16808 Job 1162 arrives
16812 Job 668  finishes at CPU
16818 Job 1163 arrives
16829 Job 353  finishes at CPU
16829 Job 353  finishes
16832 Job 607  finishes at Disk 1
16833 Job 1164 arrives
16843 Job 184  finishes at CPU
16845 Job 322  finishes at Disk 2
16848 Job 1165 arrives
16856 Job 669  finishes at CPU
16863 Job 1166 arrives
16869 Job 609  finishes at Disk 1
16871 Job 670  finishes at CPU
16871 Job 670  finishes
16878 Job 1167 arrives
16879 Job 610  finishes at Disk 2
16882 Job 185  finishes at CPU
16891 Job 1168 arrives
16901 Job 671  finishes at CPU
16910 Job 1169 arrives
16914 Job 169  finishes at Disk 1
16914 Job 672  finishes at CPU
16920 Job 1170 arrives
16923 Job 323  finishes at Disk 2
16927 Job 23   finishes at CPU
16938 Job 1171 arrives
16943 Job 356  finishes at CPU
16950 Job 1172 arrives
16951 Job 611  finishes at Disk 1
16959 Job 673  finishes at CPU
16959 Job 673  finishes
16965 Job 1173 arrives
16972 Job 612  finishes at Disk 2
16972 Job 674  finishes at CPU
16977 Job 1174 arrives
16985 Job 675  finishes at CPU
16985 Job 675  finishes
16988 Job 325  finishes at Disk 1
16994 Job 1175 arrives
16997 Job 354  finishes at CPU
17008 Job 1176 arrives
17013 Job 613  finishes at Disk 2
17013 Job 676  finishes at CPU
17022 Job 1177 arrives
17028 Job 324  finishes at Disk 1
17032 Job 11   finishes at CPU
17037 Job 1178 arrives
17046 Job 677  finishes at CPU
17047 Job 615  finishes at Disk 2
17048 Job 1179 arrives
17059 Job 678  finishes at CPU
17063 Job 1180 arrives
17075 Job 1181 arrives
17076 Job 326  finishes at Disk 1
17078 Job 186  finishes at CPU
17090 Job 1182 arrives
17091 Job 4    finishes at Disk 2
17092 Job 357  finishes at CPU
17101 Job 1183 arrives
17104 Job 679  finishes at CPU
17104 Job 679  finishes
17115 Job 1184 arrives
17116 Job 616  finishes at Disk 1
17119 Job 680  finishes at CPU
17127 Job 1185 arrives
17131 Job 188  finishes at CPU
17132 Job 617  finishes at Disk 2
17137 Job 1186 arrives
17147 Job 681  finishes at CPU
17152 Job 1187 arrives
17161 Job 619  finishes at Disk 1
17166 Job 328  finishes at Disk 2
17166 Job 355  finishes at CPU
17166 Job 355  finishes
17167 Job 1188 arrives
17180 Job 1189 arrives
17185 Job 682  finishes at CPU
17191 Job 1190 arrives
17199 Job 189  finishes at CPU
17205 Job 90   finishes at Disk 1
17210 Job 1191 arrives
17211 Job 620  finishes at Disk 2
17215 Job 683  finishes at CPU
17215 Job 683  finishes
17224 Job 1192 arrives
17226 Job 358  finishes at CPU
17238 Job 327  finishes at Disk 1
17241 Job 684  finishes at CPU
17242 Job 1193 arrives
17255 Job 171  finishes at Disk 2
17259 Job 685  finishes at CPU
17259 Job 1194 arrives
17259 Job 685  finishes
17269 Job 364  finishes at CPU
17269 Job 1195 arrives
17280 Job 1196 arrives
17283 Job 686  finishes at CPU
17285 Job 623  finishes at Disk 1
17291 Job 622  finishes at Disk 2
17294 Job 1197 arrives
17298 Job 359  finishes at CPU
17313 Job 1198 arrives
17313 Job 687  finishes at CPU
17325 Job 1199 arrives
17326 Job 625  finishes at Disk 1
17329 Job 52   finishes at CPU
17331 Job 172  finishes at Disk 2
17343 Job 1200 arrives
17343 Job 688  finishes at CPU
17354 Job 1201 arrives
17354 Job 362  finishes at CPU
17356 Job 626  finishes at Disk 1
17366 Job 689  finishes at CPU
17373 Job 1202 arrives
17374 Job 329  finishes at Disk 2
17384 Job 365  finishes at CPU
17388 Job 1203 arrives
17399 Job 628  finishes at Disk 1
17399 Job 690  finishes at CPU
17400 Job 1204 arrives
17411 Job 331  finishes at Disk 2
17414 Job 1205 arrives
17417 Job 691  finishes at CPU
17425 Job 1206 arrives
17436 Job 49   finishes at CPU
17439 Job 1207 arrives
17443 Job 330  finishes at Disk 1
17448 Job 629  finishes at Disk 2
17452 Job 692  finishes at CPU
17453 Job 1208 arrives
17467 Job 367  finishes at CPU
17470 Job 1209 arrives
17473 Job 173  finishes at Disk 1
17481 Job 1210 arrives
17485 Job 693  finishes at CPU
17488 Job 630  finishes at Disk 2
17496 Job 1211 arrives
17497 Job 694  finishes at CPU
17508 Job 631  finishes at Disk 1
17512 Job 1212 arrives
17513 Job 99   finishes at CPU
17527 Job 695  finishes at CPU
17527 Job 695  finishes
17528 Job 1213 arrives
17529 Job 91   finishes at Disk 2
17546 Job 369  finishes at CPU
17546 Job 1214 arrives
17554 Job 632  finishes at Disk 1
17561 Job 696  finishes at CPU
17561 Job 696  finishes
17564 Job 1215 arrives
17567 Job 333  finishes at Disk 2
17572 Job 697  finishes at CPU
17578 Job 1216 arrives
17585 Job 698  finishes at CPU
17596 Job 634  finishes at Disk 1
17596 Job 1217 arrives
17602 Job 193  finishes at CPU
17607 Job 633  finishes at Disk 2
17609 Job 1218 arrives
17614 Job 699  finishes at CPU
17627 Job 370  finishes at CPU
17628 Job 1219 arrives
17638 Job 636  finishes at Disk 1
17641 Job 1220 arrives
17645 Job 700  finishes at CPU
17648 Job 45   finishes at Disk 2
17655 Job 1221 arrives
17659 Job 701  finishes at CPU
17669 Job 1222 arrives
17675 Job 336  finishes at Disk 1
17675 Job 197  finishes at CPU
17684 Job 1223 arrives
17685 Job 635  finishes at Disk 2
17686 Job 194  finishes at CPU
17700 Job 1224 arrives
17703 Job 702  finishes at CPU
17703 Job 702  finishes
17714 Job 174  finishes at Disk 1
17717 Job 1225 arrives
17721 Job 703  finishes at CPU
17721 Job 703  finishes
17728 Job 1226 arrives
17731 Job 639  finishes at Disk 2
17739 Job 373  finishes at CPU
17739 Job 373  finishes
17740 Job 1227 arrives
17752 Job 368  finishes at CPU
17752 Job 1228 arrives
17759 Job 642  finishes at Disk 1
17763 Job 1229 arrives
17765 Job 704  finishes at CPU
17767 Job 337  finishes at Disk 2
17781 Job 705  finishes at CPU
17782 Job 1230 arrives
17796 Job 643  finishes at Disk 1
17798 Job 706  finishes at CPU
17801 Job 1231 arrives
17806 Job 92   finishes at Disk 2
17811 Job 198  finishes at CPU
17816 Job 1232 arrives
17822 Job 707  finishes at CPU
17822 Job 707  finishes
17832 Job 51   finishes at CPU
17833 Job 338  finishes at Disk 1
17835 Job 1233 arrives
17843 Job 708  finishes at CPU
17844 Job 644  finishes at Disk 2
17852 Job 1234 arrives
17860 Job 709  finishes at CPU
17869 Job 1235 arrives
17876 Job 340  finishes at Disk 1
17879 Job 53   finishes at CPU
17880 Job 1236 arrives
17881 Job 645  finishes at Disk 2
17895 Job 710  finishes at CPU
17899 Job 1237 arrives
17905 Job 372  finishes at CPU
17905 Job 372  finishes
17916 Job 1238 arrives
17916 Job 711  finishes at CPU
17924 Job 647  finishes at Disk 1
17928 Job 712  finishes at CPU
17929 Job 646  finishes at Disk 2
17933 Job 1239 arrives
17943 Job 377  finishes at CPU
17948 Job 1240 arrives
17954 Job 713  finishes at CPU
17967 Job 1241 arrives
17971 Job 714  finishes at CPU
17973 Job 648  finishes at Disk 1
17973 Job 176  finishes at Disk 2
17977 Job 1242 arrives
17981 Job 374  finishes at CPU
17990 Job 1243 arrives
17993 Job 715  finishes at CPU
18000 Job 1244 arrives
18011 Job 379  finishes at CPU
18013 Job 1245 arrives
18018 Job 650  finishes at Disk 2
18020 Job 649  finishes at Disk 1
18024 Job 716  finishes at CPU
18024 Job 1246 arrives
18041 Job 1247 arrives
18043 Job 717  finishes at CPU
18054 Job 177  finishes at Disk 1
18056 Job 375  finishes at CPU
18056 Job 375  finishes
18060 Job 651  finishes at Disk 2
18060 Job 1248 arrives
18070 Job 104  finishes at CPU
18072 Job 1249 arrives
18083 Job 718  finishes at CPU
18086 Job 1250 arrives
18090 Job 652  finishes at Disk 2
18094 Job 93   finishes at Disk 1
18101 Job 719  finishes at CPU
18101 Job 719  finishes
18105 Job 1251 arrives
18115 Job 720  finishes at CPU
18116 Job 1252 arrives
18130 Job 653  finishes at Disk 2
18130 Job 342  finishes at Disk 1
18133 Job 1253 arrives
18134 Job 376  finishes at CPU
18149 Job 1254 arrives
18152 Job 381  finishes at CPU
18152 Job 381  finishes
18161 Job 1255 arrives
18162 Job 721  finishes at CPU
18166 Job 654  finishes at Disk 1
18173 Job 1256 arrives
18173 Job 722  finishes at CPU
18173 Job 722  finishes
18174 Job 346  finishes at Disk 2
18186 Job 1257 arrives
18188 Job 199  finishes at CPU
18196 Job 1258 arrives
18198 Job 343  finishes at Disk 1
18200 Job 383  finishes at CPU
18200 Job 383  finishes
18205 Job 656  finishes at Disk 2
18210 Job 1259 arrives
18218 Job 723  finishes at CPU
18222 Job 1260 arrives
18235 Job 724  finishes at CPU
18236 Job 1261 arrives
18239 Job 181  finishes at Disk 1
18249 Job 200  finishes at CPU
18252 Job 1262 arrives
18253 Job 658  finishes at Disk 2
18263 Job 725  finishes at CPU
18270 Job 1263 arrives
18272 Job 94   finishes at Disk 1
18279 Job 385  finishes at CPU
18287 Job 1264 arrives
18288 Job 659  finishes at Disk 2
18298 Job 726  finishes at CPU
18299 Job 1265 arrives
18308 Job 202  finishes at CPU
18312 Job 1266 arrives
18319 Job 345  finishes at Disk 1
18320 Job 727  finishes at CPU
18328 Job 1267 arrives
18332 Job 347  finishes at Disk 2
18338 Job 386  finishes at CPU
18346 Job 1268 arrives
18352 Job 728  finishes at CPU
18360 Job 663  finishes at Disk 1
18364 Job 1269 arrives
18365 Job 384  finishes at CPU
18365 Job 384  finishes
18368 Job 662  finishes at Disk 2
18378 Job 1270 arrives
18382 Job 729  finishes at CPU
18388 Job 1271 arrives
18396 Job 351  finishes at Disk 1
18396 Job 730  finishes at CPU
18398 Job 1272 arrives
18409 Job 664  finishes at Disk 2
18411 Job 203  finishes at CPU
18411 Job 203  finishes
18414 Job 1273 arrives
18423 Job 204  finishes at CPU
18430 Job 1274 arrives
18436 Job 665  finishes at Disk 1
18436 Job 731  finishes at CPU
18440 Job 96   finishes at Disk 2
18441 Job 1275 arrives
18450 Job 732  finishes at CPU
18460 Job 1276 arrives
18460 Job 733  finishes at CPU
